neighbourhood_cleansed,latitude,longitude,estimated_occupancy_l365d,room_type,property_type,accommodates,bedrooms,bathrooms,number_of_reviews,reviews_per_month,number_of_reviews_ltm,review_scores_rating,review_scores_value,review_scores_location,availability_365,host_is_superhost,amenities,id,amenities_list,amenity_count,has_full_kitchen,has_laundry,has_parking,has_self_checkin,has_workspace,has_air_conditioning,has_outdoor_space,has_family_friendly,has_premium_leisure,has_view_or_water_access,allows_pets,has_entertainment,property_type_grouped
THIRD WARD,42.65909,-73.75691,28,Entire home/apt,Entire rental unit,2,2.0,1.0,2,0.09,1,4.0,4.0,2.5,268,f,"[""Smoke alarm"", ""Kitchen"", ""Housekeeping - available at extra cost"", ""Wifi"", ""Hot water"", ""Coffee maker"", ""TV"", ""Carbon monoxide alarm"", ""Bed linens"", ""Bathtub"", ""Cooking basics"", ""Baking sheet"", ""Room-darkening shades"", ""Dedicated workspace"", ""Microwave"", ""Clothing storage"", ""Heating"", ""Long term stays allowed"", ""Pets allowed"", ""Oven"", ""Air conditioning"", ""Toaster"", ""Coffee"", ""First aid kit"", ""Free parking on premises"", ""Dishes and silverware"", ""Hangers"", ""Refrigerator"", ""Blender"", ""Self check-in"", ""Freezer"", ""Fire extinguisher"", ""Cleaning products"", ""Keypad""]",1134940445251354534,"['Smoke alarm', 'Kitchen', 'Housekeeping - available at extra cost', 'Wifi', 'Hot water', 'Coffee maker', 'TV', 'Carbon monoxide alarm', 'Bed linens', 'Bathtub', 'Cooking basics', 'Baking sheet', 'Room-darkening shades', 'Dedicated workspace', 'Microwave', 'Clothing storage', 'Heating', 'Long term stays allowed', 'Pets allowed', 'Oven', 'Air conditioning', 'Toaster', 'Coffee', 'First aid kit', 'Free parking on premises', 'Dishes and silverware', 'Hangers', 'Refrigerator', 'Blender', 'Self check-in', 'Freezer', 'Fire extinguisher', 'Cleaning products', 'Keypad']",34,1,0,1,1,1,1,0,0,0,0,1,1,Entire place
THIRTEENTH WARD,42.66368,-73.78128,0,Private room,Private room in home,1,1.0,1.0,0,,0,,,,345,t,"[""Smoke alarm"", ""Kitchen"", ""Dishwasher"", ""Wifi"", ""Hot water"", ""Coffee maker"", ""Hair dryer"", ""Dryer"", ""Indoor fireplace"", ""TV"", ""Carbon monoxide alarm"", ""Bed linens"", ""Cooking basics"", ""Baking sheet"", ""Iron"", ""Room-darkening shades"", ""Hot water kettle"", ""Fireplace guards"", ""Microwave"", ""Wine glasses"", ""Clothing storage"", ""Dining table"", ""Heating"", ""Washer"", ""Extra pillows and blankets"", ""Long term stays allowed"", ""Oven"", ""Backyard"", ""Exterior security cameras on property"", ""Air conditioning"", ""Toaster"", ""Essentials"", ""Lock on bedroom door"", ""Laundromat nearby"", ""First aid kit"", ""Dishes and silverware"", ""Hangers"", ""Refrigerator"", ""Self check-in"", ""Freezer"", ""Free street parking"", ""Fire extinguisher"", ""Cleaning products"", ""Keypad"", ""Stove""]",1136433500940918827,"['Smoke alarm', 'Kitchen', 'Dishwasher', 'Wifi', 'Hot water', 'Coffee maker', 'Hair dryer', 'Dryer', 'Indoor fireplace', 'TV', 'Carbon monoxide alarm', 'Bed linens', 'Cooking basics', 'Baking sheet', 'Iron', 'Room-darkening shades', 'Hot water kettle', 'Fireplace guards', 'Microwave', 'Wine glasses', 'Clothing storage', 'Dining table', 'Heating', 'Washer', 'Extra pillows and blankets', 'Long term stays allowed', 'Oven', 'Backyard', 'Exterior security cameras on property', 'Air conditioning', 'Toaster', 'Essentials', 'Lock on bedroom door', 'Laundromat nearby', 'First aid kit', 'Dishes and silverware', 'Hangers', 'Refrigerator', 'Self check-in', 'Freezer', 'Free street parking', 'Fire extinguisher', 'Cleaning products', 'Keypad', 'Stove']",45,1,1,1,1,0,1,1,1,0,0,0,1,Private room
THIRTEENTH WARD,42.67105,-73.7995,56,Entire home/apt,Entire rental unit,2,1.0,,9,0.43,4,5.0,4.89,5.0,262,t,"[""Smoke alarm"", ""Kitchen"", ""Portable air conditioning"", ""Wifi"", ""Hot water"", ""Private entrance"", ""Hair dryer"", ""TV"", ""Carbon monoxide alarm"", ""Bed linens"", ""Wine glasses"", ""Microwave"", ""Clothing storage"", ""Extra pillows and blankets"", ""Pets allowed"", ""Long term stays allowed"", ""Electric stove"", ""Paid washer \u2013 In building"", ""Exterior security cameras on property"", ""Essentials"", ""Outdoor furniture"", ""Books and reading material"", ""Central heating"", ""First aid kit"", ""Free parking on premises"", ""Dishes and silverware"", ""Hangers"", ""Blender"", ""Self check-in"", ""Fire extinguisher"", ""Cleaning products"", ""Keypad"", ""Paid dryer \u2013 In building""]",1142832011692120213,"['Smoke alarm', 'Kitchen', 'Portable air conditioning', 'Wifi', 'Hot water', 'Private entrance', 'Hair dryer', 'TV', 'Carbon monoxide alarm', 'Bed linens', 'Wine glasses', 'Microwave', 'Clothing storage', 'Extra pillows and blankets', 'Pets allowed', 'Long term stays allowed', 'Electric stove', 'Paid washer – In building', 'Exterior security cameras on property', 'Essentials', 'Outdoor furniture', 'Books and reading material', 'Central heating', 'First aid kit', 'Free parking on premises', 'Dishes and silverware', 'Hangers', 'Blender', 'Self check-in', 'Fire extinguisher', 'Cleaning products', 'Keypad', 'Paid dryer – In building']",33,1,1,1,1,0,1,1,0,0,0,1,1,Entire place
SIXTH WARD,42.6524924,-73.7674361,255,Entire home/apt,Entire rental unit,4,1.0,1.0,98,4.52,54,4.85,4.8,4.49,175,t,"[""Smoke alarm"", ""Kitchen"", ""Dishwasher"", ""Wifi"", ""Shower gel"", ""Hot water"", ""Coffee maker"", ""Hair dryer"", ""Body soap"", ""TV"", ""Carbon monoxide alarm"", ""Bed linens"", ""Cooking basics"", ""Shampoo"", ""Iron"", ""Room-darkening shades"", ""Central air conditioning"", ""Hot water kettle"", ""Microwave"", ""Wine glasses"", ""Clothing storage"", ""Dining table"", ""Extra pillows and blankets"", ""Long term stays allowed"", ""Oven"", ""Paid washer \u2013 In building"", ""Exterior security cameras on property"", ""Toaster"", ""Essentials"", ""Coffee"", ""Books and reading material"", ""Central heating"", ""Conditioner"", ""Dishes and silverware"", ""Hangers"", ""Refrigerator"", ""Self check-in"", ""Freezer"", ""Free street parking"", ""Lockbox"", ""Cleaning products"", ""Paid dryer \u2013 In building"", ""Stove""]",1146241260871564965,"['Smoke alarm', 'Kitchen', 'Dishwasher', 'Wifi', 'Shower gel', 'Hot water', 'Coffee maker', 'Hair dryer', 'Body soap', 'TV', 'Carbon monoxide alarm', 'Bed linens', 'Cooking basics', 'Shampoo', 'Iron', 'Room-darkening shades', 'Central air conditioning', 'Hot water kettle', 'Microwave', 'Wine glasses', 'Clothing storage', 'Dining table', 'Extra pillows and blankets', 'Long term stays allowed', 'Oven', 'Paid washer – In building', 'Exterior security cameras on property', 'Toaster', 'Essentials', 'Coffee', 'Books and reading material', 'Central heating', 'Conditioner', 'Dishes and silverware', 'Hangers', 'Refrigerator', 'Self check-in', 'Freezer', 'Free street parking', 'Lockbox', 'Cleaning products', 'Paid dryer – In building', 'Stove']",43,1,1,1,1,0,1,0,0,0,0,0,1,Entire place
SIXTH WARD,42.65274,-73.76779,234,Entire home/apt,Entire rental unit,4,1.0,1.0,93,4.27,39,4.73,4.74,4.44,112,t,"[""Smoke alarm"", ""Kitchen"", ""Dishwasher"", ""Wifi"", ""Shower gel"", ""Hot water"", ""Coffee maker"", ""Hair dryer"", ""Body soap"", ""TV"", ""Carbon monoxide alarm"", ""Bed linens"", ""Cooking basics"", ""Shampoo"", ""Iron"", ""Room-darkening shades"", ""Hot water kettle"", ""Wine glasses"", ""Microwave"", ""Clothing storage"", ""Dining table"", ""Heating"", ""Extra pillows and blankets"", ""Long term stays allowed"", ""Oven"", ""Paid washer \u2013 In building"", ""Exterior security cameras on property"", ""Air conditioning"", ""Toaster"", ""Essentials"", ""Coffee"", ""Books and reading material"", ""Conditioner"", ""Dishes and silverware"", ""Hangers"", ""Refrigerator"", ""Self check-in"", ""Freezer"", ""Free street parking"", ""Lockbox"", ""Cleaning products"", ""Paid dryer \u2013 In building"", ""Stove""]",1147092019793504034,"['Smoke alarm', 'Kitchen', 'Dishwasher', 'Wifi', 'Shower gel', 'Hot water', 'Coffee maker', 'Hair dryer', 'Body soap', 'TV', 'Carbon monoxide alarm', 'Bed linens', 'Cooking basics', 'Shampoo', 'Iron', 'Room-darkening shades', 'Hot water kettle', 'Wine glasses', 'Microwave', 'Clothing storage', 'Dining table', 'Heating', 'Extra pillows and blankets', 'Long term stays allowed', 'Oven', 'Paid washer – In building', 'Exterior security cameras on property', 'Air conditioning', 'Toaster', 'Essentials', 'Coffee', 'Books and reading material', 'Conditioner', 'Dishes and silverware', 'Hangers', 'Refrigerator', 'Self check-in', 'Freezer', 'Free street parking', 'Lockbox', 'Cleaning products', 'Paid dryer – In building', 'Stove']",43,1,1,1,1,0,1,0,0,0,0,0,1,Entire place
SIXTH WARD,42.6586049,-73.76803290000001,54,Entire home/apt,Entire rental unit,3,1.0,1.0,18,0.84,9,4.67,4.72,4.78,267,f,"[""Smoke alarm"", ""Kitchen"", ""Exterior security cameras on property"", ""Air conditioning"", ""Fire extinguisher"", ""Wifi"", ""Dedicated workspace"", ""Carbon monoxide alarm"", ""TV"", ""Washer"", ""Pets allowed""]",1150611568915810847,"['Smoke alarm', 'Kitchen', 'Exterior security cameras on property', 'Air conditioning', 'Fire extinguisher', 'Wifi', 'Dedicated workspace', 'Carbon monoxide alarm', 'TV', 'Washer', 'Pets allowed']",11,1,1,0,0,1,1,0,0,0,0,1,1,Entire place
TENTH WARD,42.66428,-73.79249,0,Private room,Private room in home,1,1.0,1.5,2,0.11,0,5.0,4.5,5.0,257,t,"[""Smoke alarm"", ""Kitchen"", ""Dishwasher"", ""Stainless steel single oven"", ""Clothing storage: closet and dresser"", ""Wifi"", ""Hot water"", ""Hair dryer"", ""Shared backyard"", ""Indoor fireplace"", ""TV"", ""Carbon monoxide alarm"", ""Bed linens"", ""Bathtub"", ""Cooking basics"", ""Ceiling fan"", ""Iron"", ""Baking sheet"", ""Room-darkening shades"", ""Hot water kettle"", ""Wine glasses"", ""Microwave"", ""Dining table"", ""Washer"", ""Extra pillows and blankets"", ""Long term stays allowed"", ""Radiant heating"", ""Exterior security cameras on property"", ""Air conditioning"", ""Toaster"", ""Coffee"", ""Lock on bedroom door"", ""First aid kit"", ""Dishes and silverware"", ""Hangers"", ""Refrigerator"", ""Blender"", ""Self check-in"", ""Freezer"", ""Free street parking"", ""Fire extinguisher"", ""Free dryer \u2013 In unit"", ""Coffee maker: pour-over coffee"", ""Cleaning products"", ""Keypad"", ""Cleaning available during stay"", ""Stainless steel gas stove""]",1158059552251999833,"['Smoke alarm', 'Kitchen', 'Dishwasher', 'Stainless steel single oven', 'Clothing storage: closet and dresser', 'Wifi', 'Hot water', 'Hair dryer', 'Shared backyard', 'Indoor fireplace', 'TV', 'Carbon monoxide alarm', 'Bed linens', 'Bathtub', 'Cooking basics', 'Ceiling fan', 'Iron', 'Baking sheet', 'Room-darkening shades', 'Hot water kettle', 'Wine glasses', 'Microwave', 'Dining table', 'Washer', 'Extra pillows and blankets', 'Long term stays allowed', 'Radiant heating', 'Exterior security cameras on property', 'Air conditioning', 'Toaster', 'Coffee', 'Lock on bedroom door', 'First aid kit', 'Dishes and silverware', 'Hangers', 'Refrigerator', 'Blender', 'Self check-in', 'Freezer', 'Free street parking', 'Fire extinguisher', 'Free dryer – In unit', 'Coffee maker: pour-over coffee', 'Cleaning products', 'Keypad', 'Cleaning available during stay', 'Stainless steel gas stove']",47,1,1,1,1,0,1,1,0,0,0,0,1,Private room
THIRD WARD,42.65845,-73.75926,0,Entire home/apt,Entire rental unit,2,0.0,1.0,0,,0,,,,269,f,"[""BBQ grill"", ""Smoke alarm"", ""Kitchen"", ""Exterior security cameras on property"", ""Air conditioning"", ""Wifi"", ""Dedicated workspace"", ""Carbon monoxide alarm"", ""Fire pit"", ""Outdoor dining area"", ""TV"", ""Free parking on premises"", ""Washer""]",1158239701426064904,"['BBQ grill', 'Smoke alarm', 'Kitchen', 'Exterior security cameras on property', 'Air conditioning', 'Wifi', 'Dedicated workspace', 'Carbon monoxide alarm', 'Fire pit', 'Outdoor dining area', 'TV', 'Free parking on premises', 'Washer']",13,1,1,1,0,1,1,1,0,0,0,0,1,Entire place
SEVENTH WARD,42.64727,-73.76758,30,Entire home/apt,Entire rental unit,3,1.0,1.0,15,0.76,5,4.4,4.27,4.53,323,f,"[""Smoke alarm"", ""Kitchen"", ""Dishwasher"", ""Wifi"", ""Shower gel"", ""Hot water"", ""Private entrance"", ""Hair dryer"", ""Dryer"", ""TV"", ""Carbon monoxide alarm"", ""Bed linens"", ""Cooking basics"", ""Shampoo"", ""Iron"", ""Room-darkening shades"", ""Wine glasses"", ""Dedicated workspace"", ""Microwave"", ""Coffee maker: Keurig coffee machine"", ""Clothing storage"", ""Dining table"", ""Heating"", ""Washer"", ""Extra pillows and blankets"", ""Pets allowed"", ""Long term stays allowed"", ""Oven"", ""Air conditioning"", ""Essentials"", ""Coffee"", ""Single level home"", ""Free parking on premises"", ""Dishes and silverware"", ""Hangers"", ""Refrigerator"", ""Self check-in"", ""Freezer"", ""Cleaning products"", ""Keypad"", ""Hockey rink"", ""Cleaning available during stay"", ""Stove""]",1164651175585600815,"['Smoke alarm', 'Kitchen', 'Dishwasher', 'Wifi', 'Shower gel', 'Hot water', 'Private entrance', 'Hair dryer', 'Dryer', 'TV', 'Carbon monoxide alarm', 'Bed linens', 'Cooking basics', 'Shampoo', 'Iron', 'Room-darkening shades', 'Wine glasses', 'Dedicated workspace', 'Microwave', 'Coffee maker: Keurig coffee machine', 'Clothing storage', 'Dining table', 'Heating', 'Washer', 'Extra pillows and blankets', 'Pets allowed', 'Long term stays allowed', 'Oven', 'Air conditioning', 'Essentials', 'Coffee', 'Single level home', 'Free parking on premises', 'Dishes and silverware', 'Hangers', 'Refrigerator', 'Self check-in', 'Freezer', 'Cleaning products', 'Keypad', 'Hockey rink', 'Cleaning available during stay', 'Stove']",43,1,1,1,1,1,1,0,0,0,0,1,1,Entire place
SIXTH WARD,42.65314,-73.7653,246,Entire home/apt,Entire rental unit,4,2.0,2.0,72,3.5,41,4.92,4.86,4.81,37,t,"[""Smoke alarm"", ""Kitchen"", ""Dishwasher"", ""Wifi"", ""Hot water"", ""Hair dryer"", ""Body soap"", ""TV"", ""Carbon monoxide alarm"", ""Bed linens"", ""Heating - split type ductless system"", ""Bathtub"", ""Cooking basics"", ""Baking sheet"", ""Shampoo"", ""Iron"", ""Wine glasses"", ""Microwave"", ""Extra pillows and blankets"", ""Long term stays allowed"", ""Oven"", ""Air conditioning"", ""Toaster"", ""Coffee"", ""Books and reading material"", ""Clothing storage: closet"", ""Conditioner"", ""Dishes and silverware"", ""Hangers"", ""Refrigerator"", ""Blender"", ""Self check-in"", ""Free street parking"", ""Coffee maker: drip coffee maker, Keurig coffee machine"", ""Cleaning products"", ""Keypad"", ""Stove""]",1171795874799450911,"['Smoke alarm', 'Kitchen', 'Dishwasher', 'Wifi', 'Hot water', 'Hair dryer', 'Body soap', 'TV', 'Carbon monoxide alarm', 'Bed linens', 'Heating - split type ductless system', 'Bathtub', 'Cooking basics', 'Baking sheet', 'Shampoo', 'Iron', 'Wine glasses', 'Microwave', 'Extra pillows and blankets', 'Long term stays allowed', 'Oven', 'Air conditioning', 'Toaster', 'Coffee', 'Books and reading material', 'Clothing storage: closet', 'Conditioner', 'Dishes and silverware', 'Hangers', 'Refrigerator', 'Blender', 'Self check-in', 'Free street parking', 'Coffee maker: drip coffee maker, Keurig coffee machine', 'Cleaning products', 'Keypad', 'Stove']",37,1,1,1,1,0,1,0,0,0,0,0,1,Entire place
SEVENTH WARD,42.64442,-73.77938,84,Entire home/apt,Entire home,6,4.0,2.0,29,1.51,14,4.97,4.86,4.86,42,t,"[""Smoke alarm"", ""Kitchen"", ""Dishwasher"", ""Clothing storage: closet and dresser"", ""Wifi"", ""Shower gel"", ""Hot water"", ""Hair dryer"", ""Body soap"", ""TV"", ""Carbon monoxide alarm"", ""Bed linens"", ""Bathtub"", ""Cooking basics"", ""Baking sheet"", ""Shampoo"", ""Iron"", ""Wine glasses"", ""Microwave"", ""Free parking garage on premises"", ""Coffee maker: Keurig coffee machine"", ""Dining table"", ""Heating"", ""Oven"", ""Air conditioning"", ""Toaster"", ""Coffee"", ""First aid kit"", ""Conditioner"", ""Dishes and silverware"", ""Hangers"", ""Refrigerator"", ""Self check-in"", ""Lockbox"", ""Cleaning products"", ""Stove""]",1173390858101803102,"['Smoke alarm', 'Kitchen', 'Dishwasher', 'Clothing storage: closet and dresser', 'Wifi', 'Shower gel', 'Hot water', 'Hair dryer', 'Body soap', 'TV', 'Carbon monoxide alarm', 'Bed linens', 'Bathtub', 'Cooking basics', 'Baking sheet', 'Shampoo', 'Iron', 'Wine glasses', 'Microwave', 'Free parking garage on premises', 'Coffee maker: Keurig coffee machine', 'Dining table', 'Heating', 'Oven', 'Air conditioning', 'Toaster', 'Coffee', 'First aid kit', 'Conditioner', 'Dishes and silverware', 'Hangers', 'Refrigerator', 'Self check-in', 'Lockbox', 'Cleaning products', 'Stove']",36,1,1,1,1,0,1,0,0,0,0,0,1,Entire place
THIRTEENTH WARD,42.66894,-73.79549,132,Entire home/apt,Entire rental unit,6,3.0,2.0,68,3.34,22,4.94,4.94,4.9,256,t,"[""Smoke alarm"", ""Kitchen"", ""Dishwasher"", ""Private patio or balcony"", ""Clothing storage: closet and dresser"", ""Wifi"", ""Hot water"", ""Private entrance"", ""Hair dryer"", ""Body soap"", ""TV"", ""Carbon monoxide alarm"", ""Bed linens"", ""Cooking basics"", ""Baking sheet"", ""Shampoo"", ""Iron"", ""Room-darkening shades"", ""Wine glasses"", ""Dedicated workspace"", ""Microwave"", ""Dining table"", ""Stainless steel oven"", ""Extra pillows and blankets"", ""Pets allowed"", ""Radiant heating"", ""Portable fans"", ""Air conditioning"", ""Toaster"", ""Essentials"", ""Coffee"", ""Laundromat nearby"", ""Books and reading material"", ""First aid kit"", ""Conditioner"", ""Dishes and silverware"", ""Hangers"", ""Refrigerator"", ""Blender"", ""Self check-in"", ""Freezer"", ""Coffee maker: drip coffee maker"", ""Free street parking"", ""Fire extinguisher"", ""Keypad"", ""Stainless steel gas stove""]",1174544643387116469,"['Smoke alarm', 'Kitchen', 'Dishwasher', 'Private patio or balcony', 'Clothing storage: closet and dresser', 'Wifi', 'Hot water', 'Private entrance', 'Hair dryer', 'Body soap', 'TV', 'Carbon monoxide alarm', 'Bed linens', 'Cooking basics', 'Baking sheet', 'Shampoo', 'Iron', 'Room-darkening shades', 'Wine glasses', 'Dedicated workspace', 'Microwave', 'Dining table', 'Stainless steel oven', 'Extra pillows and blankets', 'Pets allowed', 'Radiant heating', 'Portable fans', 'Air conditioning', 'Toaster', 'Essentials', 'Coffee', 'Laundromat nearby', 'Books and reading material', 'First aid kit', 'Conditioner', 'Dishes and silverware', 'Hangers', 'Refrigerator', 'Blender', 'Self check-in', 'Freezer', 'Coffee maker: drip coffee maker', 'Free street parking', 'Fire extinguisher', 'Keypad', 'Stainless steel gas stove']",46,1,1,1,1,1,1,1,0,0,0,1,1,Entire place
SIXTH WARD,42.6534205,-73.7639758,102,Entire home/apt,Entire rental unit,2,0.0,1.0,36,1.79,17,4.86,4.83,4.89,54,f,"[""Smoke alarm"", ""Kitchen"", ""Ethernet connection"", ""Wifi"", ""Shower gel"", ""Hot water"", ""Hair dryer"", ""Body soap"", ""Mini fridge"", ""TV"", ""Carbon monoxide alarm"", ""Bed linens"", ""Cooking basics"", ""Shampoo"", ""Iron"", ""Room-darkening shades"", ""Hot water kettle"", ""Wine glasses"", ""Dedicated workspace"", ""Microwave"", ""Coffee maker: Keurig coffee machine"", ""Clothing storage"", ""Exercise equipment"", ""Long term stays allowed"", ""Oven"", ""Paid washer \u2013 In building"", ""Essentials"", ""Coffee"", ""Laundromat nearby"", ""Central heating"", ""First aid kit"", ""Conditioner"", ""Window AC unit"", ""Dishes and silverware"", ""Self check-in"", ""Refrigerator"", ""Freezer"", ""Free street parking"", ""Gym in building"", ""Lockbox"", ""Fire extinguisher"", ""Cleaning products"", ""Paid dryer \u2013 In building"", ""Stove""]",1182574461437954732,"['Smoke alarm', 'Kitchen', 'Ethernet connection', 'Wifi', 'Shower gel', 'Hot water', 'Hair dryer', 'Body soap', 'Mini fridge', 'TV', 'Carbon monoxide alarm', 'Bed linens', 'Cooking basics', 'Shampoo', 'Iron', 'Room-darkening shades', 'Hot water kettle', 'Wine glasses', 'Dedicated workspace', 'Microwave', 'Coffee maker: Keurig coffee machine', 'Clothing storage', 'Exercise equipment', 'Long term stays allowed', 'Oven', 'Paid washer – In building', 'Essentials', 'Coffee', 'Laundromat nearby', 'Central heating', 'First aid kit', 'Conditioner', 'Window AC unit', 'Dishes and silverware', 'Self check-in', 'Refrigerator', 'Freezer', 'Free street parking', 'Gym in building', 'Lockbox', 'Fire extinguisher', 'Cleaning products', 'Paid dryer – In building', 'Stove']",44,1,1,1,1,1,1,0,0,1,0,0,1,Entire place
SIXTH WARD,42.65227,-73.7646,150,Entire home/apt,Entire rental unit,2,0.0,1.0,40,2.07,25,4.78,4.68,4.83,53,f,"[""Smoke alarm"", ""Kitchen"", ""Ethernet connection"", ""Wifi"", ""Shower gel"", ""Hot water"", ""Hair dryer"", ""Body soap"", ""Mini fridge"", ""TV"", ""Carbon monoxide alarm"", ""Bed linens"", ""Shared gym in building"", ""Cooking basics"", ""Shampoo"", ""Iron"", ""Room-darkening shades"", ""Hot water kettle"", ""Wine glasses"", ""Dedicated workspace"", ""Microwave"", ""Coffee maker: Keurig coffee machine"", ""Clothing storage"", ""Exercise equipment"", ""Long term stays allowed"", ""Oven"", ""Paid washer \u2013 In building"", ""Exterior security cameras on property"", ""Essentials"", ""Coffee"", ""Central heating"", ""First aid kit"", ""Conditioner"", ""Window AC unit"", ""Dishes and silverware"", ""Hangers"", ""Refrigerator"", ""Self check-in"", ""Freezer"", ""Free street parking"", ""Lockbox"", ""Fire extinguisher"", ""Cleaning products"", ""Paid dryer \u2013 In building"", ""Stove""]",1183457852972127594,"['Smoke alarm', 'Kitchen', 'Ethernet connection', 'Wifi', 'Shower gel', 'Hot water', 'Hair dryer', 'Body soap', 'Mini fridge', 'TV', 'Carbon monoxide alarm', 'Bed linens', 'Shared gym in building', 'Cooking basics', 'Shampoo', 'Iron', 'Room-darkening shades', 'Hot water kettle', 'Wine glasses', 'Dedicated workspace', 'Microwave', 'Coffee maker: Keurig coffee machine', 'Clothing storage', 'Exercise equipment', 'Long term stays allowed', 'Oven', 'Paid washer – In building', 'Exterior security cameras on property', 'Essentials', 'Coffee', 'Central heating', 'First aid kit', 'Conditioner', 'Window AC unit', 'Dishes and silverware', 'Hangers', 'Refrigerator', 'Self check-in', 'Freezer', 'Free street parking', 'Lockbox', 'Fire extinguisher', 'Cleaning products', 'Paid dryer – In building', 'Stove']",45,1,1,1,1,1,1,0,0,1,0,0,1,Entire place
SIXTH WARD,42.6524,-73.76351,156,Entire home/apt,Entire rental unit,2,0.0,1.0,33,1.65,26,4.76,4.64,4.73,51,f,"[""Smoke alarm"", ""Kitchen"", ""Ethernet connection"", ""Wifi"", ""Shower gel"", ""Hot water"", ""Coffee maker"", ""Hair dryer"", ""Body soap"", ""Mini fridge"", ""TV"", ""Carbon monoxide alarm"", ""Bed linens"", ""Cooking basics"", ""Shampoo"", ""Iron"", ""Room-darkening shades"", ""Hot water kettle"", ""Wine glasses"", ""Dedicated workspace"", ""Microwave"", ""Clothing storage"", ""Dining table"", ""Long term stays allowed"", ""Oven"", ""Paid washer \u2013 In building"", ""Exterior security cameras on property"", ""Essentials"", ""Coffee"", ""Central heating"", ""First aid kit"", ""Conditioner"", ""Window AC unit"", ""Dishes and silverware"", ""Hangers"", ""Refrigerator"", ""Self check-in"", ""Freezer"", ""Free street parking"", ""Gym in building"", ""Lockbox"", ""Fire extinguisher"", ""Cleaning products"", ""Paid dryer \u2013 In building"", ""Stove""]",1183460523409924571,"['Smoke alarm', 'Kitchen', 'Ethernet connection', 'Wifi', 'Shower gel', 'Hot water', 'Coffee maker', 'Hair dryer', 'Body soap', 'Mini fridge', 'TV', 'Carbon monoxide alarm', 'Bed linens', 'Cooking basics', 'Shampoo', 'Iron', 'Room-darkening shades', 'Hot water kettle', 'Wine glasses', 'Dedicated workspace', 'Microwave', 'Clothing storage', 'Dining table', 'Long term stays allowed', 'Oven', 'Paid washer – In building', 'Exterior security cameras on property', 'Essentials', 'Coffee', 'Central heating', 'First aid kit', 'Conditioner', 'Window AC unit', 'Dishes and silverware', 'Hangers', 'Refrigerator', 'Self check-in', 'Freezer', 'Free street parking', 'Gym in building', 'Lockbox', 'Fire extinguisher', 'Cleaning products', 'Paid dryer – In building', 'Stove']",45,1,1,1,1,1,1,0,0,1,0,0,1,Entire place
SIXTH WARD,42.65327,-73.76181,255,Entire home/apt,Entire rental unit,3,1.0,1.0,207,10.44,127,4.93,4.88,4.9,105,t,"[""Smoke alarm"", ""Kitchen"", ""Wifi"", ""Shower gel"", ""Hot water"", ""Coffee maker"", ""Hair dryer"", ""Body soap"", ""Dryer"", ""Carbon monoxide alarm"", ""Bed linens"", ""Cooking basics"", ""Baking sheet"", ""Shampoo"", ""Iron"", ""Hot water kettle"", ""TV with standard cable"", ""Dedicated workspace"", ""Yamaha sound system with aux"", ""Microwave"", ""Heating"", ""Washer"", ""Smart lock"", ""Pets allowed"", ""Electric stove"", ""Oven"", ""Backyard"", ""Exterior security cameras on property"", ""Air conditioning"", ""Essentials"", ""Coffee"", ""Books and reading material"", ""First aid kit"", ""Conditioner"", ""Dishes and silverware"", ""Crib"", ""Self check-in"", ""Refrigerator"", ""Freezer"", ""Free street parking"", ""Fire extinguisher""]",1185537980724624711,"['Smoke alarm', 'Kitchen', 'Wifi', 'Shower gel', 'Hot water', 'Coffee maker', 'Hair dryer', 'Body soap', 'Dryer', 'Carbon monoxide alarm', 'Bed linens', 'Cooking basics', 'Baking sheet', 'Shampoo', 'Iron', 'Hot water kettle', 'TV with standard cable', 'Dedicated workspace', 'Yamaha sound system with aux', 'Microwave', 'Heating', 'Washer', 'Smart lock', 'Pets allowed', 'Electric stove', 'Oven', 'Backyard', 'Exterior security cameras on property', 'Air conditioning', 'Essentials', 'Coffee', 'Books and reading material', 'First aid kit', 'Conditioner', 'Dishes and silverware', 'Crib', 'Self check-in', 'Refrigerator', 'Freezer', 'Free street parking', 'Fire extinguisher']",41,1,1,1,1,1,1,1,1,0,0,1,1,Entire place
